"Total_Orders","Total_Quantity","Total_Revenue","Avg_Discount","Avg_Profit","Avg_Shipping","Recency"
2,2,293,0.3,83.55,8.35,24
1,2,298,0.1,66,6.6,132
1,4,340,0.5,1.6,0.2,144
2,3,660,0.15,134.5,13.45,144
1,1,159,0.3,74.2,7.4,227
1,1,224,0.2,130.6,13.1,250
1,1,114,0.1,30.6,3.1,114
1,1,231,0.2,146.4,14.6,230
1,5,1250,0.3,107.5,10.8,223
1,2,170,0.5,42.5,4.3,79
1,1,211,0.1,126.8,12.7,3
1,5,1155,0.3,116.4,11.6,30
1,1,224,0.5,99.2,9.9,45
1,4,132,0.2,8.3,0.8,255
2,6,828,0.4,71.5,7.15,200
1,2,448,0.5,121.6,12.2,290
1,1,228,0.4,134.3,13.4,132
2,6,1428,0.45,126.6,12.65,133
1,1,159,0.3,64.7,6.5,243
1,3,750,0.1,147.5,14.8,114
2,3,558,0.4,73.6,7.35,73
1,1,72,0.2,72,7.2,154
1,1,130,0.1,43.5,4.4,164
1,5,1240,0.4,143.2,14.3,1
1,1,122,0.4,32.2,3.2,33
2,9,1500,0.35,61.15,6.1,305
3,11,1502,0.233333333333333,51.4666666666667,5.16666666666667,67
1,1,72,0.3,24,2.4,180
2,2,383,0.4,94.85,9.5,133
1,5,1065,0.5,122.4,12.2,105
2,4,814,0.4,115.35,11.55,59
1,1,122,0.4,39.6,4,230
1,3,660,0.1,120.2,12,244
1,3,693,0.1,130.2,13,230
1,5,425,0.5,17,1.7,248
1,1,117,0.1,31.2,3.1,173
2,3,361,0.3,34.1,3.4,184
1,4,852,0.3,107.4,10.7,115
1,5,980,0.4,76.8,7.7,351
1,1,117,0.3,19.5,1.9,323
2,2,359,0.15,91.8,9.15,8
1,1,54,0.2,54,5.4,91
2,4,962,0.5,127.5,12.75,87
1,1,224,0.3,123.8,12.4,206
1,5,545,0.4,18.1,1.8,223
1,5,610,0.5,11.5,1.2,114
1,4,132,0.2,8.3,0.8,51
3,10,1661,0.4,87.0333333333333,8.66666666666667,0
1,2,462,0.1,137.1,13.7,226
1,1,213,0.5,122.4,12.2,55
1,1,196,0.2,100.3,10,292
1,2,392,0.3,104.2,10.4,41
1,1,196,0.4,112.1,11.2,47
1,2,448,0.1,139.5,14,146
1,5,270,0.3,10.8,1.1,229
1,1,54,0.3,54,5.4,236
1,2,124,0.2,31,3.1,144
1,3,186,0.4,20.7,2.1,144
1,1,54,0.2,10.8,1.1,209
1,5,425,0.5,17,1.7,327
2,2,440,0.25,130.25,13,43
1,1,117,0.3,31.2,3.1,100
1,5,425,0.1,0.8,0.1,287
1,1,213,0.2,116,11.6,29
1,5,980,0.5,67,6.7,329
1,1,140,0.3,39,3.9,8
1,3,249,0.1,27.7,2.8,143
1,2,456,0.5,125.2,12.5,69
1,1,213,0.5,126.6,12.7,312
1,1,213,0.2,120.2,12,325
2,3,539,0.15,69.7,7,182
2,7,920,0.15,74.85,7.45,7
1,4,896,0.3,117.1,11.7,298
1,2,208,0.2,13.6,1.4,70
1,1,62,0.4,15.5,1.6,142
1,1,196,0.5,108.2,10.8,209
1,4,636,0.5,47.2,4.7,45
2,3,492,0.3,97.6,9.75,179
2,6,783,0.3,71.75,7.2,113
1,1,218,0.3,111.8,11.2,91
1,1,109,0.4,22.5,2.2,29
2,3,640,0.4,133.15,13.3,203
1,1,114,0.3,27.2,2.7,104
1,5,795,0.4,47.2,4.7,97
1,2,208,0.2,19.8,2,103
1,1,228,0.2,134.3,13.4,128
1,2,130,0.2,32.5,3.3,165
1,1,65,0.2,13,1.3,45
1,1,85,0.4,3.3,0.3,162
1,1,140,0.2,54.4,5.4,65
1,4,248,0.5,15.5,1.6,258
2,3,588,0.35,109.15,10.9,1
1,4,216,0.1,13.5,1.4,116
1,1,228,0.1,138.9,13.9,214
1,2,448,0.1,139.5,14,33
1,2,496,0.5,153.1,15.3,155
1,1,228,0.4,138.9,13.9,184
1,1,228,0.1,145.7,14.6,180
1,1,122,0.4,27.4,2.7,311
1,1,159,0.1,72.6,7.3,39
1,1,85,0.5,28.3,2.8,88
2,3,383,0.45,74.95,7.5,235
1,3,597,0.1,101.1,10.1,250
1,1,109,0.4,26.8,2.7,126
1,1,228,0.5,120.6,12.1,41
1,1,54,0.1,18,1.8,30
1,1,196,0.1,110.1,11,17
1,1,231,0.2,146.4,14.6,151
1,5,1250,0.1,157.5,15.8,137
1,2,130,0.2,32.5,3.3,221
2,5,898,0.4,62.55,6.25,238
1,1,213,0.1,130.9,13.1,226
1,1,228,0.3,141.2,14.1,191
1,1,196,0.5,92.5,9.2,153
2,5,1108,0.4,98.05,9.85,187
1,1,109,0.1,25.7,2.6,177
2,3,383,0.3,63.9,6.35,42
1,1,211,0.1,128.9,12.9,214
1,1,122,0.3,31,3.1,42
1,4,844,0.1,122.6,12.3,43
1,2,222,0.1,28.8,2.9,57
1,2,436,0.5,133.6,13.4,0
1,1,220,0.1,107,10.7,236
2,7,824,0.2,21.6,2.2,164
1,4,912,0.5,138.9,13.9,0
1,5,980,0.1,106.2,10.6,250
2,10,1140,0.25,19.75,2,71
1,1,228,0.5,145.7,14.6,55
1,1,250,0.1,132.5,13.3,93
1,1,228,0.2,134.3,13.4,191
1,1,72,0.3,36,3.6,50
1,1,62,0.5,62,6.2,248
1,2,280,0.2,48.8,4.9,13
1,2,124,0.3,31,3.1,14
1,2,318,0.4,66.3,6.6,153
1,5,1065,0.4,90.4,9,49
1,1,109,0.4,15.9,1.6,134
1,1,122,0.4,39.6,4,156
1,4,456,0.3,15.8,1.6,306
1,1,220,0.2,135.6,13.6,66
1,1,222,0.2,133.1,13.3,52
1,1,114,0.1,28.3,2.8,218
1,4,784,0.4,100.3,10,250
1,1,231,0.3,116.4,11.6,298
2,5,980,0.3,109.15,10.9,106
1,1,109,0.4,20.3,2,233
1,5,1055,0.1,120.5,12,259
1,4,924,0.3,104.8,10.5,360
1,1,117,0.1,33.5,3.3,285
1,1,122,0.4,22.5,2.2,346
2,5,996,0.3,115.1,11.5,144
